"Company Name","Domain","New Column","Website","LinkedIn URL","Founded Year","Revenue","Revenue (USD)","Tier","SaaS Status & Reason"
"Spendflo","spendflo.com",,"http://www.spendflo.com","http://www.linkedin.com/company/spendflo","2020","15.2M",15200000,"Tier 1","true"
"Menlo Ventures","menlovc.com",,"http://www.menlovc.com","http://www.linkedin.com/company/menlo-ventures","1976","25M",25000000,"Tier 1","false"
"MagicSchool AI","magicschool.ai",,"http://www.magicschool.ai","http://www.linkedin.com/company/magicschool-ai","2023","44.9M",44900000,"Tier 1","true"
"Loom","loom.com",,"http://www.loom.com","http://www.linkedin.com/company/useloom","2016","50M",50000000,"Tier 1","true"
"Vanta","vanta.com",,"http://www.vanta.com","http://www.linkedin.com/company/vanta-security","2018","220M",220000000,"Tier 1","true"
"Instabase","instabase.com",,"http://www.instabase.com","http://www.linkedin.com/company/instabase","2015","50M",50000000,"Tier 1","true"
"Briq","briq.com",,"http://www.briq.com","http://www.linkedin.com/company/briqhq","2018","25M",25000000,"Tier 1","true"
"SpotDraft","spotdraft.com",,"http://www.spotdraft.com","http://www.linkedin.com/company/spotdraft","2017","7M",7000000,"Tier 1","true"
"Harvey","harvey.ai",,"http://www.harvey.ai","http://www.linkedin.com/company/harvey-ai","2022","190M",190000000,"Tier 1","true"
"Clarity AI","clarity.ai",,"http://www.clarity.ai","http://www.linkedin.com/company/clarity-ai","2017","60.1M",60100000,"Tier 1","true"
"Creatio","creatio.com",,"http://www.creatio.com","http://www.linkedin.com/company/creatioglobal","2014","175.5M",175500000,"Tier 1","true"
"Salesloft","salesloft.com",,"http://www.salesloft.com","http://www.linkedin.com/company/salesloft","2011","110M",110000000,"Tier 1","true"
"DoiT","doit.com",,"http://www.doit.com","http://www.linkedin.com/company/doitintl","2011","86.8M",86800000,"Tier 1","true"
"Neo4j","neo4j.com",,"http://www.neo4j.com","http://www.linkedin.com/company/neo4j","2007","200M",200000000,"Tier 1","true"
"Fireblocks","fireblocks.com",,"http://www.fireblocks.com","http://www.linkedin.com/company/fireblocks","2018","156.3M",156300000,"Tier 1","true"
"ICONIQ","iconiqcapital.com",,"http://www.iconiqcapital.com","http://www.linkedin.com/company/iconiq-capital-llc","2011","65.6M",65600000,"Tier 1","false"
"ZeroFox","zerofox.com",,"http://www.zerofox.com","http://www.linkedin.com/company/zerofox","2013","50M",50000000,"Tier 1","true"
"Drillinginfo","drillinginfo.com",,"http://www.drillinginfo.com","http://www.linkedin.com/company/drillinginfo","1999","600M",600000000,"Tier 1","true"
"Workday Peakon Employee Voice","",,"","http://www.linkedin.com/company/peakon","2015","",,"Tier 1",
"Skydio","skydio.com",,"http://www.skydio.com","http://www.linkedin.com/company/skydio","2014","180M",180000000,"Tier 1","false"
"LotusFlare","lotusflare.com",,"http://www.lotusflare.com","http://www.linkedin.com/company/lotusflare","2014","66.1M",66100000,"Tier 1","true"
"Tebra","tebra.com",,"http://www.tebra.com","http://www.linkedin.com/company/tebra",,"112.2M",112200000,"Tier 1","true"
"project44","project44.com",,"http://www.project44.com","http://www.linkedin.com/company/project-44","2014","210.1M",210100000,"Tier 1","true"
"Demandbase","demandbase.com",,"http://www.demandbase.com","http://www.linkedin.com/company/demandbase","2005","30.5M",30500000,"Tier 1","true"
"Absorb Software","absorblms.com",,"http://www.absorblms.com","http://www.linkedin.com/company/absorb-software","2003","69.4M",69400000,"Tier 1","true"
"Jitterbit","jitterbit.com",,"http://www.jitterbit.com","http://www.linkedin.com/company/jitterbit","2003","105M",105000000,"Tier 1","true"
"LandingAI","landing.ai",,"http://www.landing.ai","http://www.linkedin.com/company/landing-ai","2017","15.2M",15200000,"Tier 1","true"
"AllCloud","allcloud.io",,"http://www.allcloud.io","http://www.linkedin.com/company/allcloud","2014","90.4M",90400000,"Tier 1","false"
"Aurea","aurea.com",,"http://www.aurea.com","http://www.linkedin.com/company/aurea-software","2012","24.2M",24200000,"Tier 1","false"
"BigID","bigid.com",,"http://www.bigid.com","http://www.linkedin.com/company/bigid","2016","139.5M",139500000,"Tier 1","true"
"Acoustic","acoustic.com",,"http://www.acoustic.com","http://www.linkedin.com/company/goacoustic","2019","126M",126000000,"Tier 1","true"
"Clari","clari.com",,"http://www.clari.com","http://www.linkedin.com/company/clari","2012","158.5M",158500000,"Tier 1","true"
"Skai","skai.io",,"http://www.skai.io","http://www.linkedin.com/company/skaicommerce","2006","78.9M",78900000,"Tier 1","true"
"Securiti AI","securiti.ai",,"http://www.securiti.ai","http://www.linkedin.com/company/securitiai","2019","75.9M",75900000,"Tier 1","true"
"Sixth Street","sixthstreet.com",,"http://www.sixthstreet.com","http://www.linkedin.com/company/sixthstreet","2009","110M",110000000,"Tier 1","false"
